migplac5,state_inc_1965,orig_state_inc_1970
1,2056,3074
2,4003,5873
4,2511,4000
5,1904,2920
6,3521,4966
8,2912,4248
9,3507,5160
10,3581,4736
11,4102,5469
12,2595,4160
13,2339,3533
15,3418,5544
16,2593,3649
17,3378,4642
18,2883,3835
19,2855,3933
20,2731,3958
21,2155,3256
22,2176,3174
23,2464,3541
24,3152,4878
25,3153,4575
26,3156,4178
27,2800,4099
28,1726,2730
29,2832,3936
30,2624,3742
31,2756,3905
32,3436,5138
33,2785,4009
34,3354,4917
35,2370,3399
36,3539,4935
37,2198,3386
38,2586,3401
39,2976,4136
40,2423,3625
41,2913,4033
42,2866,4133
44,3046,4298
45,2031,3219
46,2346,3394
47,2188,3262
48,2503,3768
49,2577,3535
50,2506,3696
51,2741,4161
53,3177,4379
54,2177,3148
55,2787,3979
56,2792,4017
