	(1)	(2)	(3)	(4)
	er_n_all	occ_n_all	sgl_n_all	sei_n_all
VARIABLES	erscor50	occscore_real	presgl	sei
				
MShortN	-0.663	-273.6**	0.146	-0.318
	(3.070)	(158.1)	(1.565)	(2.326)
MReturn	-5.268	-406.7*	-5.349**	-7.936**
	(4.915)	(253.1)	(2.507)	(3.724)
MWithinNorth	9.556***	319.9**	4.356**	6.527***
	(3.685)	(189.8)	(1.879)	(2.792)
WMAA	4.511***	226.0***	-0.356	-2.169***
	(0.986)	(50.04)	(0.509)	(0.752)
WMN	3.783***	195.0***	0.938*	1.018
	(1.331)	(65.92)	(0.703)	(1.026)
MW_WMAA	-8.494**	-272.1*	-4.191**	-5.719**
	(3.941)	(203.0)	(2.010)	(2.986)
MW_WMN	0.824	30.95	1.977	4.143**
	(3.181)	(163.8)	(1.622)	(2.410)
MR_WMAA	3.512	243.2	5.326**	8.299**
	(5.246)	(270.1)	(2.675)	(3.975)
MR_WMN	-5.685	-466.1	0.141	-1.300
	(7.300)	(375.8)	(3.723)	(5.532)
MSN_WMAA	0.196	63.36	0.697	0.649
	(3.253)	(167.6)	(1.659)	(2.465)
MSN_WMN	-5.327	-298.1	-0.872	0.529
	(4.718)	(242.9)	(2.407)	(3.576)
tMShortN	0.0381	214.8**	-0.194	-1.869
	(2.371)	(115.2)	(1.275)	(1.845)
tMReturn	-2.432	-47.38	0.204	1.818
	(3.855)	(187.3)	(2.074)	(3.000)
tMWithinNorth	-1.576	-52.20	-0.363	-1.059
	(2.870)	(139.5)	(1.544)	(2.233)
tWMAA	0.196	5.097	1.094***	1.609***
	(0.699)	(34.32)	(0.372)	(0.541)
tWMN	0.772	28.16	-0.0374	0.423
	(1.282)	(62.86)	(0.683)	(0.993)
tMW_tWMAA	2.387	133.5	1.975	3.853*
	(3.067)	(149.0)	(1.650)	(2.387)
tMW_tWMN	-0.00382	50.48	-0.332	0.0749
	(2.490)	(121.0)	(1.339)	(1.938)
tMR_tWMAA	-0.329	-169.7	-0.601	-4.199*
	(4.113)	(199.9)	(2.213)	(3.201)
tMR_tWMN	8.706*	584.1**	2.378	4.110
	(5.762)	(280.0)	(3.100)	(4.484)
tMSN_tWMAA	-0.0284	-82.31	-0.849	1.194
	(2.511)	(122.0)	(1.351)	(1.954)
tMSN_tWMN	7.751**	362.5**	2.553	3.161
	(3.724)	(181.0)	(2.003)	(2.898)
time	2.865***	143.6***	1.902***	2.668***
	(0.200)	(9.931)	(0.106)	(0.155)
age	1.105***	45.59***	0.496***	0.687***
	(0.110)	(5.479)	(0.0574)	(0.0843)
agesqr	-0.0143***	-0.634***	-0.00612***	-0.00820***
	(0.00139)	(0.0692)	(0.000728)	(0.00107)
education	1.475***	82.45***	1.736***	2.851***
	(0.0614)	(3.191)	(0.0310)	(0.0463)
children	-0.126*	-5.523*	-0.132***	-0.278***
	(0.0813)	(4.212)	(0.0412)	(0.0614)
Constant	-4.927**	1,529***	0.515	-20.67***
	(2.303)	(116.4)	(1.193)	(1.759)
				
Observations	24,086	24,086	24,086	24,086
Number of id	12,043	12,043	12,043	12,043
