	(1)	(2)	(3)	(4)
	er_n_f	occ_n_f	sgl_n_f	sei_n_f
VARIABLES	erscor50	occscore_real	presgl	sei
				
MShortN	-0.0112	-152.9	0.769	1.425
	(3.016)	(171.5)	(1.980)	(2.953)
MReturn	0.556	-115.6	-7.355**	-11.42**
	(5.691)	(319.3)	(3.702)	(5.497)
MWithinNorth	10.04**	394.3*	8.040***	11.34***
	(4.526)	(254.0)	(2.944)	(4.372)
WMAA	1.043	68.91	-0.951	-1.776*
	(1.293)	(71.05)	(0.829)	(1.223)
WMN	3.620*	253.5**	2.313*	4.258**
	(2.349)	(126.8)	(1.488)	(2.180)
MW_WMAA	-11.29***	-453.6**	-8.595***	-12.28***
	(4.839)	(271.6)	(3.148)	(4.675)
MW_WMN	-1.214	30.14	-2.305	0.566
	(4.502)	(252.6)	(2.928)	(4.349)
MR_WMAA	-1.953	-53.11	6.570**	11.30**
	(6.118)	(343.3)	(3.979)	(5.909)
MR_WMN	11.97	-103.4	4.091	0.639
	(10.57)	(592.9)	(6.872)	(10.21)
MSN_WMAA	0.647	-32.38	0.791	0.350
	(3.344)	(189.7)	(2.192)	(3.266)
MSN_WMN	0.590	-11.21	-0.459	-0.707
	(5.915)	(331.7)	(3.845)	(5.709)
tMWithinNorth	-6.220*	-396.5**	-3.089	-10.12***
	(3.993)	(211.2)	(2.495)	(3.631)
tMReturn	-2.488	-196.6	1.963	6.219*
	(5.044)	(266.8)	(3.152)	(4.587)
tWMAA	0.442	31.44	1.932***	2.170**
	(1.064)	(57.05)	(0.671)	(0.981)
tWMN	-1.002	-175.6*	-0.218	-1.103
	(2.309)	(123.7)	(1.456)	(2.127)
tMW_tWMAA	8.148**	515.3**	5.313**	12.90***
	(4.262)	(225.5)	(2.663)	(3.876)
tMW_tWMN	-0.763	-5.784	0.0240	1.897
	(3.969)	(210.0)	(2.480)	(3.610)
tMR_tWMAA	0.148	-88.18	-1.500	-8.011*
	(5.419)	(286.6)	(3.386)	(4.928)
tMR_tWMN	2.851	664.1*	-1.796	0.0948
	(9.409)	(497.7)	(5.879)	(8.557)
tMSN_tWMAA	0.282	106.7*	-0.451	-0.391
	(1.298)	(68.67)	(0.811)	(1.181)
tMSN_tWMN	-2.538	-23.86	-1.767	-0.131
	(5.261)	(278.4)	(3.288)	(4.786)
time	2.104***	598.0***	2.268***	3.506***
	(0.274)	(14.76)	(0.173)	(0.254)
age	0.785***	47.89***	0.425***	0.654***
	(0.145)	(7.919)	(0.0926)	(0.136)
agesqr	-0.0111***	-0.780***	-0.00611***	-0.00953***
	(0.00184)	(0.101)	(0.00118)	(0.00173)
education	2.906***	137.4***	2.410***	3.732***
	(0.0837)	(4.762)	(0.0550)	(0.0820)
children	-0.333***	-16.64***	-0.237***	-0.461***
	(0.110)	(6.247)	(0.0722)	(0.108)
Constant	-21.17***	178.7	-4.923***	-27.98***
	(2.968)	(164.2)	(1.912)	(2.825)
				
Observations	9,580	9,580	9,580	9,580
Number of id	4,790	4,790	4,790	4,790
