	(1)	(2)	(3)	(4)
	er_n_m	occ_n_m	sgl_n_m	sei_n_m
VARIABLES	erscor50	occscore_real	presgl	sei
				
MShortN	-0.230	-296.4*	0.267	-3.109
	(4.410)	(205.6)	(2.214)	(3.290)
MReturn	-10.69*	-646.6**	-3.374	-4.578
	(6.663)	(310.5)	(3.344)	(4.970)
MWithinNorth	7.894**	141.0	2.811	4.682*
	(4.763)	(222.0)	(2.391)	(3.554)
WMAA	4.828***	196.6***	0.330	-1.829**
	(1.311)	(60.64)	(0.656)	(0.969)
WMN	0.104	-16.86	0.424	0.239
	(1.587)	(71.93)	(0.786)	(1.144)
MW_WMAA	-5.985	-60.10	-2.587	-3.282
	(5.097)	(237.6)	(2.559)	(3.803)
MW_WMN	2.808	85.45	4.353**	6.196**
	(3.811)	(177.6)	(1.913)	(2.843)
MR_WMAA	8.851	521.5*	3.889	5.210
	(7.073)	(329.7)	(3.550)	(5.276)
MR_WMN	-16.20**	-835.3**	-3.655	-4.995
	(8.616)	(401.5)	(4.324)	(6.425)
MSN_WMAA	-2.144	29.51	0.240	2.830
	(4.602)	(214.5)	(2.310)	(3.434)
MSN_WMN	-6.103	-343.4	-2.786	-1.667
	(6.034)	(281.2)	(3.028)	(4.499)
tMShortN	0.225	399.6***	-2.266	-3.031
	(3.673)	(164.0)	(1.806)	(2.599)
tMReturn	-1.956	66.97	-1.434	-2.255
	(5.630)	(251.3)	(2.768)	(3.983)
tMWithinNorth	2.005	240.4*	1.583	5.493**
	(3.987)	(178.0)	(1.960)	(2.821)
tWMAA	0.569	28.16	0.607*	1.210**
	(0.892)	(40.22)	(0.441)	(0.639)
tWMN	0.679	57.40	-0.0413	0.733
	(1.544)	(69.50)	(0.762)	(1.104)
tMW_tWMAA	-1.909	-171.4	-0.494	-2.743
	(4.265)	(190.4)	(2.097)	(3.018)
tMW_tWMN	0.315	89.55	-0.208	-0.562
	(3.219)	(143.7)	(1.583)	(2.277)
tMR_tWMAA	-1.099	-259.4	0.376	-0.589
	(5.977)	(266.8)	(2.939)	(4.229)
tMR_tWMN	11.25*	595.0**	4.449	6.003
	(7.333)	(327.3)	(3.605)	(5.188)
tMSN_tWMAA	-0.583	-271.0*	0.879	2.247
	(3.834)	(171.2)	(1.885)	(2.713)
tMSN_tWMN	15.78***	728.0***	5.480**	5.625*
	(5.134)	(229.2)	(2.524)	(3.633)
time	3.050***	118.4***	1.666***	2.123***
	(0.268)	(12.11)	(0.132)	(0.193)
age	1.310***	52.82***	0.561***	0.716***
	(0.145)	(6.644)	(0.0723)	(0.106)
agesqr	-0.0156***	-0.606***	-0.00632***	-0.00742***
	(0.00184)	(0.0839)	(0.000913)	(0.00134)
education	1.505***	89.35***	1.391***	2.357***
	(0.0740)	(3.479)	(0.0373)	(0.0558)
children	-0.00635	-0.170	-0.0781*	-0.191***
	(0.0974)	(4.567)	(0.0490)	(0.0732)
Constant	-4.470*	1,534***	1.892	-18.02***
	(3.035)	(139.7)	(1.515)	(2.230)
				
Observations	14,506	14,506	14,506	14,506
Number of id	7,253	7,253	7,253	7,253
